K35 FPS FK in Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Fremdkapital dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
612;Konolfingen;4739.0;246;12;9;351;11.38;22.82;19.10;26.27;29.44;27.55;18.90;14.62;12.06;9.35
413;Koppigen;2070.0;245;6;17;;45.54;39.92;31.00;27.56;20.74;16.00;17.14;17.69;21.89;18.31
566;Krattigen;989.0;249;10;17;;35.99;35.59;31.27;37.47;38.45;31.02;31.70;21.82;18.89;20.02
414;Krauchthal;2318.0;245;6;15;;24.03;23.12;20.88;13.17;8.05;7.26;12.97;8.92;16.75;33.30
666;Kriechenwil;410.0;246;14;20;;31.75;23.77;18.78;15.27;15.11;8.07;5.34;3.41;3.15;3.53
355;Köniz;38633.0;246;3;9;351;40.14;39.23;41.88;38.48;38.34;33.39;29.44;34.68;33.29;32.08
435;La Ferrière;545.0;241;7;19;;29.16;25.15;31.16;30.88;19.23;17.61;13.92;15.03;18.57;14.35
436;La Heutte;486.0;241;7;15;;36.60;36.42;72.12;21.56;32.74;24.42;26.99;29.35;50.08;44.12
723;La Neuveville;3559.0;241;13;17;;38.11;36.94;38.52;34.17;33.92;29.25;27.71;30.15;28.66;29.67
722;Lamboing;682.0;241;13;16;;103.42;103.51;107.64;99.25;89.05;85.57;84.60;74.97;78.67;73.87
613;Landiswil;628.0;246;12;21;;18.51;12.89;10.14;12.14;13.18;9.52;5.73;15.66;10.41;10.19
329;Langenthal;15017.0;244;2;3;;62.59;64.27;56.45;49.06;35.94;26.49;19.87;21.80;18.71;14.41
902;Langnau i.E.;9018.0;245;23;3;;64.25;36.90;30.45;31.34;30.47;31.49;23.37;24.19;21.96;21.28
842;Lauenen;810.0;248;20;21;;63.59;79.83;75.77;61.81;59.25;62.99;44.77;35.66;37.52;33.00
667;Laupen;2830.0;246;14;10;351;71.53;70.96;58.42;48.41;43.33;41.19;39.12;37.10;29.12;28.49
903;Lauperswil;2680.0;245;23;19;;18.42;9.48;9.52;9.10;10.03;8.00;5.97;7.38;17.22;31.47
584;Lauterbrunnen;2741.0;250;11;6;;41.15;42.98;35.77;27.46;35.23;30.21;22.68;23.59;37.22;39.34
330;Leimiswil;0.0;244;2;19;;52.95;59.52;46.82;43.08;34.47;29.97;15.74;18.30;11.07;0.00
585;Leissigen;932.0;250;11;17;;55.82;76.05;56.06;64.64;59.40;64.22;58.10;46.82;46.36;45.62
387;Lengnau;4627.0;242;5;14;;35.03;29.10;30.44;22.80;10.47;3.24;3.02;4.76;3.39;2.67
792;Lenk;2419.0;248;19;6;;102.79;82.93;87.37;75.40;68.80;58.89;47.62;50.40;39.84;50.90
388;Leuzigen;1200.0;243;5;16;;60.29;50.58;43.80;41.03;31.92;31.06;32.54;29.27;26.23;24.13
740;Ligerz;521.0;242;16;20;;52.71;39.33;42.75;48.79;34.16;28.76;29.62;23.27;24.83;27.03
542;Limpach;359.0;246;9;20;;32.83;28.77;24.54;20.23;10.80;10.90;9.79;4.28;2.96;3.24
614;Linden;1321.0;246;12;19;;30.02;17.04;24.48;27.43;27.10;26.32;25.07;30.15;26.08;24.83
874;Lohnstorf;224.0;246;22;21;;16.05;14.08;11.58;5.66;6.69;4.84;3.75;4.30;10.20;13.01
331;Lotzwil;2462.0;244;2;15;;9.03;9.61;10.74;18.97;7.00;4.51;6.07;10.39;10.70;10.69
696;Loveresse;317.0;241;15;19;;18.58;31.36;15.93;15.97;8.95;9.03;16.13;23.17;26.32;23.81
306;Lyss;13776.0;243;1;3;;44.70;44.06;57.77;48.81;43.52;39.19;32.68;36.78;37.66;31.84
415;Lyssach;1427.0;245;6;12;404;8.73;8.75;7.98;7.13;6.91;7.28;7.18;5.34;4.30;6.04
933;Längenbühl;0.0;247;24;20;;32.08;29.51;24.55;29.67;35.72;0.00;0.00;0.00;0.00;0.00
497;Lüscherz;537.0;243;8;20;;5.06;7.04;5.11;5.63;6.06;6.78;6.08;4.40;3.13;3.11
586;Lütschental;240.0;250;11;20;;44.96;41.34;17.23;63.99;177.43;210.44;138.55;85.90;45.29;38.20
955;Lützelflüh;4075.0;245;25;19;;30.26;29.10;29.05;27.57;21.24;20.23;17.30;13.52;13.60;11.00
332;Madiswil;3140.0;244;2;20;;19.22;22.40;20.25;17.22;11.43;10.80;4.63;7.11;4.88;6.60
