K2 SFA Selbstfinanzierungsanteil;;;;;;;;;
Der Selbstfinanzierungsanteil gibt  Auskunft über die finanzielle Leistungsfähigkeit
einer Gemeinde. Je höher der Wert, um so grösser ist der Spielraum für den Schuldenabbau
oder die Finanzierung von Investitionen und deren Folgekosten.


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
585;Leissigen;932.0;250;11;17;;25.3;8.7;17.8;11.3;12.5;13.0;15.4;18.2;18.2;22.1
387;Lengnau;4627.0;242;5;14;;10.3;11.6;8.8;19.0;35.2;35.1;23.8;12.3;13.3;16.9
792;Lenk;2419.0;248;19;6;;19.7;20.3;20.8;19.4;18.2;20.7;17.6;19.3;16.2;20.1
388;Leuzigen;1200.0;243;5;16;;13.2;19.4;13.4;10.5;17.3;15.1;9.4;13.2;23.3;33.6
740;Ligerz;521.0;242;16;20;;14.6;13.8;2.9;7.4;7.9;10.2;2.0;16.8;10.6;4.4
542;Limpach;359.0;246;9;20;;13.8;23.9;24.6;6.8;16.6;11.6;9.5;13.8;10.9;8.3
614;Linden;1321.0;246;12;19;;24.0;20.0;14.8;11.6;16.8;27.7;15.0;25.1;17.2;16.2
874;Lohnstorf;224.0;246;22;21;;13.9;19.2;28.8;25.0;24.8;11.8;14.9;13.7;3.9;0.2
331;Lotzwil;2462.0;244;2;15;;19.5;12.0;10.6;4.8;49.0;16.3;10.2;11.4;14.0;8.9
696;Loveresse;317.0;241;15;19;;-7.3;1.5;15.3;23.1;10.8;20.3;20.0;26.3;14.4;16.2
306;Lyss;13776.0;243;1;3;;-1.4;9.1;1.4;10.9;11.8;14.9;15.5;12.8;7.0;9.1
415;Lyssach;1427.0;245;6;12;404;13.9;14.1;3.1;11.4;11.3;5.5;3.4;23.3;18.7;12.0
933;Längenbühl;0.0;247;24;20;;4.9;7.8;21.7;10.7;9.7;0.00;0.00;0.00;0.00;0.00
497;Lüscherz;537.0;243;8;20;;10.8;16.5;9.5;7.5;2.3;12.2;7.6;9.0;19.3;13.3
586;Lütschental;240.0;250;11;20;;13.0;5.3;34.2;-25.7;-3.4;-2.4;20.6;33.7;43.0;22.0
955;Lützelflüh;4075.0;245;25;19;;9.8;7.1;9.1;8.7;18.5;14.2;9.0;12.2;6.8;14.6
332;Madiswil;3140.0;244;2;20;;18.7;14.0;10.4;13.7;49.8;15.4;4.2;7.0;12.0;11.7
697;Malleray;1970.0;241;15;18;;4.6;8.2;7.9;5.7;21.3;22.0;22.7;11.9;4.9;8.7
587;Matten b.I.;3780.0;250;11;13;;5.6;13.4;15.9;12.1;11.5;14.8;10.0;13.5;12.3;14.6
543;Mattstetten;588.0;246;9;11;351;10.4;7.0;10.8;13.0;17.0;16.9;14.3;0.6;13.2;3.8
389;Meienried;53.0;243;5;20;;-60.2;-41.8;18.3;-4.2;-1.5;3.0;30.9;12.2;30.2;-24.3
307;Meikirch;2344.0;246;1;11;351;16.0;9.2;14.9;19.6;20.5;13.5;11.7;5.5;9.8;11.6
