K33 IQ Investitionsquote;;;;;;;;;
Kurzbeschrieb: Nettoinvestitionen dividiert durch den Finanzertrag.
Finanzertrag = Total Ertrag Laufende Rechnung ohne Durchlaufende Beiträge (47), Entnahmen aus
Spezialfinanzierungen (48) und interne Verrechnungen (49).


BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [PROZ];2003 [PROZ];2004 [PROZ];2005 [PROZ];2006 [PROZ];2007 [PROZ];2008 [PROZ];2009 [PROZ];2010 [PROZ];2011 [PROZ]
564;Kandergrund;810.0;249;10;8;;0.03;0.14;0.06;0.20;0.05;0.27;0.03;0.08;0.14;0.23
565;Kandersteg;1261.0;249;10;6;;-0.12;-0.01;0.18;0.04;0.09;0.08;0.16;0.16;0.16;0.35
305;Kappelen;1278.0;243;1;19;;0.15;0.21;0.22;0.21;0.40;0.06;0.21;0.12;0.35;0.28
869;Kaufdorf;1034.0;246;22;11;351;0.10;0.03;0.02;0.02;0.07;0.06;0.00;0.09;0.02;0.16
870;Kehrsatz;3964.0;246;22;10;351;0.04;0.02;0.16;0.12;0.25;0.03;0.08;0.07;0.06;0.16
411;Kernenried;449.0;245;6;15;;0.07;0.07;0.03;0.10;0.04;0.08;0.02;0.05;0.07;0.04
871;Kienersrüti;52.0;247;22;21;;0.00;0.00;0.00;0.16;0.00;0.00;0.00;0.00;0.00;0.00
611;Kiesen;857.0;246;12;15;;0.02;0.00;0.00;0.04;0.04;0.00;0.00;0.00;0.07;0.08
412;Kirchberg;5613.0;245;6;12;404;0.00;-0.07;0.18;0.35;0.02;0.05;0.08;0.11;0.10;0.06
872;Kirchdorf;814.0;246;22;20;;0.07;0.11;0.08;0.07;0.09;0.26;0.08;0.01;0.01;0.16
873;Kirchenthurnen;271.0;246;22;15;;0.17;0.19;0.00;0.00;0.00;0.00;0.34;0.05;0.01;0.16
354;Kirchlindach;2815.0;246;3;11;351;0.10;0.15;0.06;0.06;-0.02;0.28;0.04;0.08;0.07;0.15
328;Kleindietwil;0.0;244;2;19;;0.02;0.05;0.01;0.01;0.04;0.03;0.19;0.07;0.09;0.00
612;Konolfingen;4739.0;246;12;9;351;0.00;0.22;-0.01;0.07;0.05;0.00;0.01;0.00;0.01;0.05
413;Koppigen;2070.0;245;6;17;;0.07;0.04;0.07;0.02;0.03;0.12;0.18;0.08;0.05;0.07
566;Krattigen;989.0;249;10;17;;0.05;0.07;0.39;0.06;0.11;0.08;0.22;0.15;0.21;0.17
414;Krauchthal;2318.0;245;6;15;;0.01;0.00;0.11;0.07;0.11;0.06;0.22;0.19;0.33;0.63
666;Kriechenwil;410.0;246;14;20;;0.02;0.00;0.02;0.15;0.10;0.02;0.08;0.09;0.10;0.02
