K30 EBPS EK / BF pro Steueranlagezehntel;;;;;;;;;
Kurzbeschrieb: Eigenkapital oder Bilanzfehlbetrag dividiert durch Ertrag eines Steueranlagezehntels.




BFS-Nr.;Gemeinde;Anzahl Einwohner;Verw.-Kreis ;Amtsbezirk;BFS Typ;Agglomeration BFS-Nr.;2002 [SAZ];2003 [SAZ];2004 [SAZ];2005 [SAZ];2006 [SAZ];2007 [SAZ];2008 [SAZ];2009 [SAZ];2010 [SAZ];2011 [SAZ]
354;Kirchlindach;2815.0;246;3;11;351;8.93;9.20;10.88;10.80;13.16;12.94;11.60;9.86;8.62;8.37
328;Kleindietwil;0.0;244;2;19;;6.32;1.12;4.29;6.99;45.87;45.87;44.55;43.84;28.59;0.00
612;Konolfingen;4739.0;246;12;9;351;10.83;8.38;7.22;5.26;3.84;3.70;3.98;4.95;4.86;6.31
413;Koppigen;2070.0;245;6;17;;1.07;0.88;1.12;2.50;4.11;6.54;7.15;8.12;7.47;6.70
566;Krattigen;989.0;249;10;17;;8.81;10.04;8.61;8.76;10.53;10.79;11.09;12.52;12.41;12.35
414;Krauchthal;2318.0;245;6;15;;0.45;4.47;6.78;6.74;7.78;8.36;7.49;7.74;7.36;5.22
666;Kriechenwil;410.0;246;14;20;;4.93;4.55;4.99;6.01;6.43;8.72;10.93;18.17;16.64;20.81
355;Köniz;38633.0;246;3;9;351;2.67;1.91;1.59;1.32;0.07;2.06;2.56;2.64;2.45;2.65
435;La Ferrière;545.0;241;7;19;;28.27;32.85;37.30;34.64;34.47;38.41;36.74;39.84;43.99;40.06
436;La Heutte;486.0;241;7;15;;11.41;22.27;22.14;8.38;11.42;12.90;13.08;13.03;9.09;9.16
723;La Neuveville;3559.0;241;13;17;;7.83;9.10;9.13;8.81;9.29;9.57;10.62;12.28;11.11;9.99
722;Lamboing;682.0;241;13;16;;5.25;3.96;3.25;2.16;0.30;3.90;5.22;6.12;6.98;7.39
613;Landiswil;628.0;246;12;21;;25.50;31.61;34.07;31.35;24.08;23.99;17.16;12.65;6.31;9.14
329;Langenthal;15017.0;244;2;3;;0.86;3.98;2.29;0.88;59.61;57.16;50.16;54.76;56.95;53.27
902;Langnau i.E.;9018.0;245;23;3;;6.85;4.21;5.08;5.15;5.80;6.68;6.47;7.07;7.97;8.91
842;Lauenen;810.0;248;20;21;;7.23;5.71;4.56;4.15;4.61;4.99;4.56;8.39;10.35;10.48
667;Laupen;2830.0;246;14;10;351;0.64;3.68;0.92;1.75;3.01;4.38;5.82;5.79;6.83;6.93
903;Lauperswil;2680.0;245;23;19;;9.20;9.14;10.30;9.52;10.89;10.60;11.25;10.17;11.10;11.24
584;Lauterbrunnen;2741.0;250;11;6;;1.36;3.42;3.71;3.90;5.46;15.71;17.47;23.34;14.86;14.11
330;Leimiswil;0.0;244;2;19;;10.22;11.96;11.88;11.93;60.71;59.19;56.32;62.50;30.43;0.00
585;Leissigen;932.0;250;11;17;;11.57;8.84;6.36;5.12;4.27;3.74;2.96;3.00;3.14;3.65
387;Lengnau;4627.0;242;5;14;;0.00;0.83;5.41;8.43;17.24;15.92;17.19;20.06;19.63;19.35
792;Lenk;2419.0;248;19;6;;2.24;0.55;3.10;5.17;7.72;10.96;11.70;13.15;13.96;18.10
388;Leuzigen;1200.0;243;5;16;;3.76;8.12;8.51;8.85;9.63;10.07;9.53;10.37;17.49;21.38
740;Ligerz;521.0;242;16;20;;11.10;12.94;13.66;16.35;12.33;12.02;11.82;10.89;12.04;10.70
542;Limpach;359.0;246;9;20;;4.19;13.49;15.48;14.43;12.34;13.60;14.11;14.65;15.83;15.72
614;Linden;1321.0;246;12;19;;6.29;8.96;12.35;12.53;14.18;17.75;18.91;18.18;17.40;16.43
874;Lohnstorf;224.0;246;22;21;;28.99;29.97;29.51;32.68;30.42;28.40;26.49;24.54;24.24;19.17
331;Lotzwil;2462.0;244;2;15;;6.79;7.26;6.94;4.37;4.29;4.88;6.59;8.02;7.80;7.85
696;Loveresse;317.0;241;15;19;;17.27;9.94;8.03;12.35;10.48;10.55;12.55;15.06;17.17;19.54
306;Lyss;13776.0;243;1;3;;7.35;6.56;3.70;3.02;5.08;6.29;6.82;9.01;8.90;9.39
415;Lyssach;1427.0;245;6;12;404;16.10;17.12;13.49;13.57;14.23;14.71;13.31;13.02;13.21;13.62
933;Längenbühl;0.0;247;24;20;;35.50;29.46;27.08;31.01;28.62;0.00;0.00;0.00;0.00;0.00
497;Lüscherz;537.0;243;8;20;;16.80;15.26;15.32;16.28;13.97;12.21;13.02;12.30;9.96;12.18
586;Lütschental;240.0;250;11;20;;95.42;89.54;52.62;65.78;92.94;81.02;69.30;50.74;60.43;56.06
955;Lützelflüh;4075.0;245;25;19;;5.70;5.76;5.69;5.77;8.94;11.18;10.49;11.98;11.32;11.57
